id,runid,runid_sequence,vin,datetime_,time_delta,year_,month_,day_,hour_,min_,dayofweek,messageid,ignition,odometer,odometer_dist,xy_dist,speedInst,speedAvg,speedMax,heading,headingcalculated,lon,lat
0,0,0,1FDUF4GT1HEE29102,2018-02-13 0:16,0,2018,2,13,0,16,1,95421646700,On,3408.408,0,0,0,0,0,None,None,2671738.261,242355.2987
1,0,1,1FDUF4GT1HEE29102,2018-02-13 0:18,101,2018,2,13,0,18,1,95421650651,On,3408.781,0.373,0.325413,14,14,25,289,37.69826659124983,2670903.206,240855.6409
2,0,2,1FDUF4GT1HEE29102,2018-02-13 0:20,120,2018,2,13,0,20,1,95421805354,On,3409.216,0.435,0.354873,0,11,26,None,96.71987988912932,2669040.352,241087.083
3,0,3,1FDUF4GT1HEE29102,2018-02-13 0:22,122,2018,2,13,0,22,1,95421810091,Idle,3409.216,0,0,0,0,0,None,None,2669040.352,241087.083
4,0,4,1FDUF4GT1HEE29102,2018-02-13 0:26,239,2018,2,13,0,26,1,95421819423,On,3409.34,0.124,0.126115,16,4,20,101,-82.96502408955507,2669701.768,241000.1341
5,0,5,1FDUF4GT1HEE29102,2018-02-13 0:28,120,2018,2,13,0,28,1,95421824099,On,3409.837,0.497,0.385449,7,15,25,None,-105.70134952600023,2671595.537,241753.5784
6,0,6,1FDUF4GT1HEE29102,2018-02-13 0:30,120,2018,2,13,0,30,1,95421828815,On,3409.961,0.124,0.109547,0,2,21,None,-169.88795968896574,2671657.738,242327.4998
7,0,7,1FDUF4GT1HEE29102,2018-02-13 0:31,74,2018,2,13,0,31,1,95421831685,Off,3409.961,0,0.012194,0,0,1,None,45.0,2671619.963,242275.4064
8,1,0,1FDUF4GTXHEE29101,2018-02-13 0:56,0,2018,2,13,0,56,1,95422118742,On,5257.071,0,0,0,0,0,None,None,2720859.763,260984.1463
9,1,1,1FDUF4GTXHEE29101,2018-02-13 0:58,102,2018,2,13,0,58,1,95422122589,On,5257.506,0.435,0.46394,15,16,24,259,72.46089132654126,2718620.405,259983.1082
10,2,0,1FVACXBS6CHBK5200,2018-02-13,0,2018,2,13,0,0,1,95421607238,On,43896.892,0,0,0,5,11,None,None,2697600.606,235563.6456
11,2,1,1FVACXBS6CHBK5200,2018-02-13 0:01,62,2018,2,13,0,1,1,95421609658,On,43897.079,0.187,0.138744,6,9,11,None,99.31708606908026,2696878.683,235695.4527
12,2,2,1FVACXBS6CHBK5200,2018-02-13 0:02,61,2018,2,13,0,2,1,95421612170,On,43897.141,0.062,0.09859,9,6,10,273,94.63546342682584,2696358.63,235734.8182
13,2,3,1FVACXBS6CHBK5200,2018-02-13 0:03,61,2018,2,13,0,3,1,95421614647,On,43897.265,0.124,0.12907,14,7,14,281,94.95952393450162,2695678.2,235791.3482
14,2,4,1FVACXBS6CHBK5200,2018-02-13 0:04,59,2018,2,13,0,4,1,95421617128,On,43897.389,0.124,0.12323,1,7,14,None,98.7272776951131,2695035.511,235900.0262
15,2,5,1FVACXBS6CHBK5200,2018-02-13 0:05,62,2018,2,13,0,5,1,95421619475,On,43897.514,0.125,0.101903,7,6,10,279,92.38594403051229,2694496.597,235913.3664
16,2,6,1FVACXBS6CHBK5200,2018-02-13 0:06,61,2018,2,13,0,6,1,95421621976,On,43897.638,0.124,0.110133,2,6,9,None,95.82072424540351,2693917.064,235972.9046
17,2,7,1FVACXBS6CHBK5200,2018-02-13 0:07,62,2018,2,13,0,7,1,95421624364,On,43897.7,0.062,0.107146,2,6,11,None,138.31094151483038,2693583.937,236429.6232
18,2,8,1FVACXBS6CHBK5200,2018-02-13 0:08,61,2018,2,13,0,8,1,95421626893,On,43897.762,0.062,0.049707,10,4,10,277,98.65254179115234,2693324.629,236473.0483
19,2,9,1FVACXBS6CHBK5200,2018-02-13 0:09,62,2018,2,13,0,9,1,95421629301,On,43897.948,0.186,0.100005,9,11,19,103,14.225963898744208,2693238.887,235953.0352
20,2,10,1FVACXBS6CHBK5200,2018-02-13 0:10,61,2018,2,13,0,10,1,95421631756,On,43898.135,0.187,0.148042,1,9,16,None,-94.31989415370407,2694015.708,236052.3283
21,2,11,1FVACXBS6CHBK5200,2018-02-13 0:11,62,2018,2,13,0,11,1,95421634210,On,43898.259,0.124,0.167632,14,10,15,97,-83.61962889219824,2694896.59,235950.6143
22,2,12,1FVACXBS6CHBK5200,2018-02-13 0:12,61,2018,2,13,0,12,1,95421636688,On,43898.446,0.187,0.170768,9,10,16,99,-84.82171529571843,2695796.456,235871.3556
23,2,13,1FVACXBS6CHBK5200,2018-02-13 0:13,62,2018,2,13,0,13,1,95421639032,On,43898.57,0.124,0.158046,9,9,10,97,-80.25056326000386,2696617.308,235713.2723
24,2,14,1FVACXBS6CHBK5200,2018-02-13 0:14,61,2018,2,13,0,14,1,95421641599,On,43898.818,0.248,0.187224,0,10,19,None,-83.13780648436075,2697599.855,235589.1341
25,2,15,1FVACXBS6CHBK5200,2018-02-13 0:15,62,2018,2,13,0,15,1,95421644017,On,43898.943,0.125,0.110999,12,7,15,103,-81.98674815586784,2698180.267,235500.5522
26,2,16,1FVACXBS6CHBK5200,2018-02-13 0:16,61,2018,2,13,0,16,1,95421646552,On,43899.067,0.124,0.113814,19,6,19,101,-84.36931724227675,2698779.442,235441.6928
27,2,17,1FVACXBS6CHBK5200,2018-02-13 0:18,80,2018,2,13,0,18,1,95421649691,On,43899.253,0.186,0.181126,15,14,21,189,-52.60343241282628,2699477.528,234788.0861
28,2,18,1FVACXBS6CHBK5200,2018-02-13 0:18,41,2018,2,13,0,18,1,95421651323,On,43899.315,0.062,0.056071,0,2,17,None,20.39487608159571,2699404.643,234501.6697
29,2,19,1FVACXBS6CHBK5200,2018-02-13 0:19,62,2018,2,13,0,19,1,95421803687,Idle,43899.315,0,0,0,0,0,None,None,2699427.063,234502.3318
30,2,20,1FVACXBS6CHBK5200,2018-02-13 0:21,118,2018,2,13,0,21,1,95421808310,On,43899.378,0.063,0.05045,7,4,9,205,17.216073587584393,2699373.042,234241.9835
31,2,21,1FVACXBS6CHBK5200,2018-02-13 0:22,62,2018,2,13,0,22,1,95421810754,On,43899.502,0.124,0.129078,10,7,11,281,94.95952393450162,2698692.562,234298.4309
32,2,22,1FVACXBS6CHBK5200,2018-02-13 0:23,61,2018,2,13,0,23,1,95421813051,On,43899.564,0.062,0.072201,11,4,11,277,95.9206207141131,2698312.711,234338.2488
33,2,23,1FVACXBS6CHBK5200,2018-02-13 0:24,62,2018,2,13,0,24,1,95421815531,On,43899.75,0.186,0.156224,10,9,11,265,97.05230600785255,2697493.303,234445.2984
