id,lon,lat,in_segs,goes_to
1,2694170.430803,243494.883013,420144 420145 420148,288 4
2,2694042.085587,243512.943016,420145 420141 422029 422324,1 26
4,2694214.169889,243797.539560,420144 420112 420109,1 279
5,2694060.339488,243658.162214,422323 422324 422199,2 18
6,2694080.954604,243813.594974,422323 420107 420108 420109,4 5
9,2694234.170177,243145.557268,420197 420220 420196 440050,10 93303 671
10,2693998.752669,243177.540144,420197 422031 420194 420217,16 9 28
11,2693660.562400,244020.886554,420095 420073 420074 420085,13 141
12,2693666.180499,244063.935024,420073,13
13,2693678.126341,244142.098582,521309 420073 521303,144 258
14,2693641.137570,243877.352064,420095 420108 420124 420096,11 6
16,2693965.010938,242931.051792,421532 420218 420221 420217,150 30
18,2693620.116943,243716.327780,420124 422199 420136 420125,5 14 39
20,2693599.244609,243572.386795,420153 420137 420141 420136,18 2
24,2693579.944779,243441.530429,420186 420154 420162 420153,26 20
26,2694021.421915,243380.059424,422029 422030 420162,93304
28,2693553.962548,243235.736550,420186 420212 420194 421606,24 10 50
30,2693520.185384,242991.122866,420212 421526 420218 420213,433 28
34,2694199.972739,242901.283150,420220 420221 420231,16 9
39,2693177.347815,243779.786643,420115 420132 420125,18 42
41,2693200.248360,243937.798138,420088 420115 420087 420096,14 39
42,2693159.355397,243636.088111,420142 420132 420137,20 47
47,2693142.751756,243503.238639,420154 420142 420180,24 50
50,2693110.507070,243296.437216,420180 420199 421605 421606,136 28 119
53,2692758.338155,243997.728464,420088 420080 420079 420100,41 55
55,2692775.296782,244127.342706,420054 420064 420079 420055,60 63
56,2692734.138728,243839.944003,420101 420127 420100,57 53
57,2692291.522159,243900.242438,420101 420118 420093,2579
59,2692782.567437,244179.092931,420054,60
60,2692790.877788,244229.910086,521270 420054 521290,70
62,2692751.563562,244139.230478,420055,63
63,2692332.723849,244194.670655,420048 420055 420069,66
65,2692339.654281,244241.100681,420048,66
66,2692346.310436,244293.619276,521290 521263 420048 521289,67 60
67,2692359.182785,244389.348744,521263 521293 521262,74 68
68,2692376.926844,244523.687058,521261 521255 521254 521262,1944 72941
70,2692797.069048,244257.689886,521270 521269 521295,74 103
74,2692805.115292,244326.852806,521269 521293 521268,78
78,2692822.529627,244460.972288,521256 521268 521255 521267,73219 68
80,2691995.929575,244339.951205,521274 420062 521289,66 2214 94
83,2692713.867443,243698.529915,420166 420127 420128,56
85,2691782.829935,243483.534282,421600 421610 421601 421611,1262 86 87
