id,runid,runid_sequence,vin,datetime,lon,lat,assoc_lon,assoc_lat,assoc_seg_id
0,1465,0,1HTWGAAT96J346882,2018-06-01 06:22:39,2678471.189535,223734.908957,2677936.969504,224979.011908,220261
1,1465,1,1HTWGAAT96J346882,2018-06-01 06:22:46,2678470.458667,223760.398211,2677936.969504,224979.011908,220261
2,1465,2,1HTWGAAT96J346882,2018-06-01 06:24:57,2679005.751250,223881.437989,2679251.771008,224330.476460,220261
3,1465,3,1HTWGAAT96J346882,2018-06-01 06:25:11,2679022.451738,223983.958127,2679347.280003,224285.531996,220261
4,1465,4,1HTWGAAT96J346882,2018-06-01 06:25:41,2679093.309810,224350.423425,2679116.405602,224397.246436,220261
5,1465,5,1HTWGAAT96J346882,2018-06-01 06:25:57,2679293.835841,224305.158753,2679295.963618,224309.680375,220261
6,1465,6,1HTWGAAT96J346882,2018-06-01 06:26:13,2679737.907724,224084.674372,2679741.024235,224090.981785,220261
7,1465,7,1HTWGAAT96J346882,2018-06-01 06:26:28,2680204.417646,223864.842670,2680203.040826,223862.077860,220261
8,1465,8,1HTWGAAT96J346882,2018-06-01 06:26:43,2680731.386441,223592.093649,2680734.131212,223597.605460,220261
9,1465,9,1HTWGAAT96J346882,2018-06-01 06:27:00,2681096.139229,223398.506053,2681103.651580,223413.591700,220261
10,1465,10,1HTWGAAT96J346882,2018-06-01 06:27:14,2681116.604249,223369.940415,2681131.448518,223399.749381,220261
11,1465,11,1HTWGAAT96J346882,2018-06-01 06:28:00,2681789.881037,223571.542977,2681784.852745,223587.084909,220487
12,1465,12,1HTWGAAT96J346882,2018-06-01 06:28:18,2682145.722117,223687.482012,2682145.192845,223689.445846,220487
13,1465,13,1HTWGAAT96J346882,2018-06-01 06:28:32,2682461.078520,223747.593864,2682454.298040,223772.752500,220487
14,1465,14,1HTWGAAT96J346882,2018-06-01 06:28:46,2682994.883323,223919.698153,2682995.198154,223918.529987,220487
15,1465,15,1HTWGAAT96J346882,2018-06-01 06:29:03,2683571.578180,224063.898085,2683569.072706,224073.194512,221051
16,1465,16,1HTWGAAT96J346882,2018-06-01 06:29:17,2684125.731710,224211.104461,2684124.264535,224216.806899,221051
17,1465,17,1HTWGAAT96J346882,2018-06-01 06:29:40,2684819.431762,224384.226266,2684816.671229,224394.955574,221051
18,1465,18,1HTWGAAT96J346882,2018-06-01 06:29:46,2685114.304781,224472.934487,2685115.541791,224466.668468,220489
19,1465,19,1HTWGAAT96J346882,2018-06-01 06:30:03,2685215.237420,224475.855962,2685214.225811,224484.035394,220486
20,1465,20,1HTWGAAT96J346882,2018-06-01 06:30:18,2685631.509757,224538.930080,2685741.726532,224562.921533,220484
21,1465,21,1HTWGAAT96J346882,2018-06-01 06:30:34,2686026.677144,224652.420498,2686030.025097,224640.142492,220408
22,1465,22,1HTWGAAT96J346882,2018-06-01 06:30:49,2686127.609051,224655.345692,2686124.004122,224666.881466,220408
23,1465,23,1HTWGAAT96J346882,2018-06-01 06:34:10,2686959.881417,224887.210251,2686955.693345,224903.448908,322483
24,1465,24,1HTWGAAT96J346882,2018-06-01 06:34:14,2687095.780100,224942.175039,2687096.408041,224939.740287,322483
25,1465,25,1HTWGAAT96J346882,2018-06-01 06:34:16,2687315.681233,225003.223584,2687288.596798,224991.469561,322482
26,1465,26,1HTWGAAT96J346882,2018-06-01 06:34:20,2687493.632808,225059.411525,2687495.678086,225052.468100,322481
27,1465,27,1HTWGAAT96J346882,2018-06-01 06:34:25,2687493.632808,225059.411525,2687495.678086,225052.468100,322481
28,1465,28,1HTWGAAT96J346882,2018-06-01 06:44:24,2686887.636088,225249.549127,2686882.191796,225212.061481,321339
29,1465,29,1HTWGAAT96J346882,2018-06-01 06:44:39,2686788.770730,225272.191177,2686782.839215,225226.185524,322747
30,1465,30,1HTWGAAT96J346882,2018-06-01 06:44:57,2686347.128313,225310.403380,2686343.572035,225282.820293,323401
31,1465,31,1HTWGAAT96J346882,2018-06-01 06:45:10,2685923.379132,225505.848841,2685964.509223,225426.045463,323400
32,1465,32,1HTWGAAT96J346882,2018-06-01 06:45:26,2685611.373962,225912.265438,2685593.656518,225898.445627,323397
