id,runid,runid_sequence,vin,datetime,lon,lat,assoc_lon,assoc_lat,assoc_seg_id
0,1465,0,1HTWGAAT96J346882,6/1/2018 6:22,2678471.19,223734.909,2677936.97,224979.0119,220261
1,1465,1,1HTWGAAT96J346882,6/1/2018 6:22,2678470.459,223760.3982,2677936.97,224979.0119,220261
2,1465,2,1HTWGAAT96J346882,6/1/2018 6:24,2679005.751,223881.438,2679232.043,224340.2076,220261
3,1465,3,1HTWGAAT96J346882,6/1/2018 6:25,2679022.452,223983.9581,2679204.802,224353.6442,220261
4,1465,4,1HTWGAAT96J346882,6/1/2018 6:25,2679093.31,224350.4234,2679116.406,224397.2464,220261
5,1465,5,1HTWGAAT96J346882,6/1/2018 6:25,2679293.836,224305.1588,2679295.964,224309.6804,220261
6,1465,6,1HTWGAAT96J346882,6/1/2018 6:26,2679737.908,224084.6744,2679741.024,224090.9818,220261
7,1465,7,1HTWGAAT96J346882,6/1/2018 6:26,2680204.418,223864.8427,2680203.041,223862.0779,220261
8,1465,8,1HTWGAAT96J346882,6/1/2018 6:26,2680731.386,223592.0936,2680734.131,223597.6055,220261
9,1465,9,1HTWGAAT96J346882,6/1/2018 6:27,2681096.139,223398.5061,2681103.652,223413.5917,220261
10,1465,10,1HTWGAAT96J346882,6/1/2018 6:27,2681116.604,223369.9404,2681131.449,223399.7494,220261
11,1465,11,1HTWGAAT96J346882,6/1/2018 6:28,2681789.881,223571.543,2681784.853,223587.0849,220487
12,1465,12,1HTWGAAT96J346882,6/1/2018 6:28,2682145.722,223687.482,2682145.193,223689.4458,220487
13,1465,13,1HTWGAAT96J346882,6/1/2018 6:28,2682461.079,223747.5939,2682454.298,223772.7525,220487
14,1465,14,1HTWGAAT96J346882,6/1/2018 6:28,2682994.883,223919.6982,2682995.198,223918.53,220487
15,1465,15,1HTWGAAT96J346882,6/1/2018 6:29,2683571.578,224063.8981,2683569.073,224073.1945,221051
16,1465,16,1HTWGAAT96J346882,6/1/2018 6:29,2684125.732,224211.1045,2684124.265,224216.8069,221051
17,1465,17,1HTWGAAT96J346882,6/1/2018 6:29,2684819.432,224384.2263,2684816.671,224394.9556,221051
18,1465,18,1HTWGAAT96J346882,6/1/2018 6:29,2685114.305,224472.9345,2685115.542,224466.6685,220489
19,1465,19,1HTWGAAT96J346882,6/1/2018 6:30,2685215.237,224475.856,2685214.226,224484.0354,220486
20,1465,20,1HTWGAAT96J346882,6/1/2018 6:30,2685631.51,224538.9301,2685630.511,224545.1998,220484
21,1465,21,1HTWGAAT96J346882,6/1/2018 6:30,2686026.677,224652.4205,2686030.025,224640.1425,220408
22,1465,22,1HTWGAAT96J346882,6/1/2018 6:30,2686127.609,224655.3457,2686124.004,224666.8815,220408
23,1465,23,1HTWGAAT96J346882,6/1/2018 6:34,2686959.881,224887.2103,2686955.693,224903.4489,322483
24,1465,24,1HTWGAAT96J346882,6/1/2018 6:34,2687095.78,224942.175,2687096.408,224939.7403,322483
25,1465,25,1HTWGAAT96J346882,6/1/2018 6:34,2687315.681,225003.2236,2687316.705,224999.7491,322481
26,1465,26,1HTWGAAT96J346882,6/1/2018 6:34,2687493.633,225059.4115,2687495.678,225052.4681,322481
27,1465,27,1HTWGAAT96J346882,6/1/2018 6:34,2687493.633,225059.4115,2687495.678,225052.4681,322481
28,1465,28,1HTWGAAT96J346882,6/1/2018 6:44,2686887.636,225249.5491,2686882.192,225212.0615,321339
29,1465,29,1HTWGAAT96J346882,6/1/2018 6:44,2686788.771,225272.1912,2686782.839,225226.1855,322747
30,1465,30,1HTWGAAT96J346882,6/1/2018 6:44,2686347.128,225310.4034,2686343.572,225282.8203,323401
31,1465,31,1HTWGAAT96J346882,6/1/2018 6:45,2685923.379,225505.8488,2685910.16,225495.506,322811
32,1465,32,1HTWGAAT96J346882,6/1/2018 6:45,2685611.374,225912.2654,2685593.657,225898.4456,323397
33,1465,33,1HTWGAAT96J346882,6/1/2018 6:45,2685219.406,226367.3915,2685229.882,226374.8807,322805
34,1465,34,1HTWGAAT96J346882,6/1/2018 6:46,2684866.699,226823.6594,2684880.275,226834.4333,322804
35,1465,35,1HTWGAAT96J346882,6/1/2018 6:46,2684514.006,227279.9324,2684517.563,227282.8994,323427
36,1465,36,1HTWGAAT96J346882,6/1/2018 6:46,2684122.815,227709.5867,2684130.548,227716.3811,323546
37,1465,37,1HTWGAAT96J346882,6/1/2018 6:46,2683730.165,228190.2255,2683749.765,228205.4542,323544
38,1465,38,1HTWGAAT96J346882,6/1/2018 6:47,2683554.707,228728.1633,2683561.471,228727.8734,323545
39,1465,39,1HTWGAAT96J346882,6/1/2018 6:47,2683617.276,229378.663,2683638.155,229378.3034,322916
40,1465,40,1HTWGAAT96J346882,6/1/2018 6:47,2683662.676,229846.45,2683658.9,229847.0153,322942
41,1465,41,1HTWGAAT96J346882,6/1/2018 6:47,2683661.94,229871.9391,2683662.616,229871.838,322942
42,1465,42,1HTWGAAT96J346882,6/1/2018 6:48,2683661.204,229897.4282,2683666.331,229896.6606,322942
